komentar,label,Unnamed: 2,preprocessed
Terima kasih kepada para polisi yang sudah membantu warga,joy,,terima kasih polisi bantu warga
Terima kasih kepada polisi yang selalu berjuang untuk menjaga keamanan kita semua,joy,,terima kasih polisi juang jaga aman
Terima kasih kepada polisi yang bekerja keras dalam menjaga perbatasan laut kita,joy,,terima kasih polisi kerja keras jaga batas laut
Terima kasih Bapak polisi atas himbauan yang sangat bagus ini.,joy,,terima kasih polisi himbauan bagus 
Terima kasih kepada polisi yang telah bekerja keras untuk menyelesaikan kasus ini,joy,,terima kasih polisi kerja keras selesai
Terima kasih Bapak polisi sudah bertindak tegas,joy,,terima kasih polisi tindak
"Semakin profesional, semakin dihormati!",netral,,profesional  hormat 
"Jangan hanya penindakan, polisi juga harus mendidik masyarakat!",netral,,tindak  polisi didik masyarakat 
"Makin baik pelayanan, makin tinggi kepercayaan masyarakat.",netral,,layan  percaya masyarakat 
Penting buat polisi untuk menjaga netralitas dalam bertugas!,netral,,polisi jaga netralitas tugas 
Penegakan hukum yang adil akan bikin masyarakat lebih percaya sama polisi.,netral,,tega hukum adil bikin masyarakat percaya polisi 
Semoga polisi selalu mengutamakan keadilan dalam setiap tindakan.,netral,,moga polisi utama adil tindak 
"Polisi adalah pelindung rakyat, bukan sebaliknya.",netral,,polisi lindung rakyat  
Kinerja polisi menentukan rasa aman masyarakat.,netral,,kerja polisi aman masyarakat 
Polisi memiliki tugas utama menegakkan hukum dan menjaga ketertiban,netral,,polisi milik tugas utama tegak hukum jaga tertib
akhirnya motor saya balik terima kasih pak polisi,joy,,motor terima kasih polisi
Salut Polisi Tolong Sopir Truk Kontainer yang Pingsan,joy,,salut polisi tolong sopir truk kontainer pingsan
akhirnya kena juga Terima Kasih Pak Polisi.,joy,,kena terima kasih polisi 
Terima kasih pak polisi selalu hadir melayani,joy,,terima kasih polisi hadir layan
terima kasih polisi yang Selalu Hadir Melayani dan dengan Pengabdian Sepenuh Hati,joy,,terima kasih polisi hadir layan abdi sepenuh hati
terima kasih polisi selalu Bersama Cegah Kejahatan semoga untuk kedepannya kejahatan yang lain bisa terungkap,joy,,terima kasih polisi cegah jahat moga jahat
terima kasih polisi selalu Cegah Kejahatan,joy,,terima kasih polisi cegah jahat
Kinerja kepolisian bikin aku sedih banget,sadness,,kerja polisi bikin sedih banget
Aku merasa sangat sedih melihat cara kerja kepolisian.,sadness,,sedih lihat kerja polisi 
Kepolisian bekerja dengan cara yang bikin aku benar-benar sedih.,sadness,,polisi kerja bikin sedih 
"Aku nggak habis pikir dengan kinerja kepolisian, rasanya sedih banget.",sadness,,nggak habis pikir kerja polisi  sedih banget 
Saya sangat kecewa dengan kinerja kepolisian dan berharap ada perbaikan.,sadness,,kecewa kerja polisi harap 
Kinerja kepolisian saat ini kurang memuaskan dan perlu evaluasi.,sadness,,kerja polisi muas evaluasi 
Penegakan hukum seharusnya dilakukan dengan lebih adil dan transparan.,trust,,tega hukum laku adil transparan 
Saya berharap kepolisian bisa lebih profesional dalam menjalankan tugasnya.,trust,,harap polisi profesional jalan tugas 
Kepercayaan masyarakat pada kepolisian harus dijaga dengan tindakan nyata.,trust,,percaya masyarakat polisi jaga tindak nyata 
Saya sangat geram dengan kinerja kepolisian yang semakin mengecewakan.,anger,,geram kerja polisi kecewa 
Bagaimana mungkin kepolisian terus bekerja dengan cara yang semrawut seperti ini,anger,,polisi kerja semrawut
Kinerja kepolisian benar-benar membuat saya frustrasi! Seharusnya mereka lebih bertanggung jawab.,anger,,kerja polisi frustrasi  tanggung 
Saya muak melihat bagaimana kepolisian menegakkan hukum dengan standar ganda.,anger,,muak lihat polisi tegak hukum standar ganda 
"Sebagai aparat penegak hukum, kepolisian seharusnya malu dengan cara mereka bekerja saat ini.",anger,,aparat tegak hukum  polisi malu kerja 
Saya benar-benar kecewa dengan bagaimana kepolisian menangani masalah ini.,sadness,,kecewa polisi tangan 
Keputusan yang diambil kepolisian sungguh mengecewakan dan tidak mencerminkan keadilan.,sadness,,putus ambil polisi sungguh kecewa cermin adil 
Sulit dipercaya bahwa kepolisian masih bekerja dengan cara yang begitu tidak profesional.,sadness,,sulit percaya polisi kerja profesional 
"Sebagai masyarakat, kami merasa dikhianati oleh kepolisian yang seharusnya melindungi, bukan merugikan.",sadness,,masyarakat  khianat polisi lindung  rugi 
Harus sampai kapan kepolisian terus mengabaikan keadilan dan kepentingan masyarakat,anger,,polisi abai adil masyarakat
"Saya sedih melihat kepolisian yang seharusnya melindungi rakyat, tapi malah mengecewakan.",sadness,,sedih lihat polisi lindung rakyat  kecewa 
Miris rasanya melihat hukum tidak ditegakkan dengan adil oleh kepolisian.,sadness,,miris lihat hukum tegak adil polisi 
"Seharusnya kepolisian menjadi pelindung, bukan sumber ketidakadilan.",sadness,,polisi lindung  sumber ketidakadilan 
Saya kehilangan harapan melihat banyak kasus yang tidak ditangani dengan serius.,sadness,,hilang harap lihat tangan serius 
Kepolisian yang seharusnya menjadi harapan rakyat kini justru sering mengecewakan.,sadness,,polisi harap rakyat kecewa 
Sungguh menyedihkan ketika rakyat takut melapor karena tidak percaya pada kepolisian.,sadness,,sungguh sedih rakyat takut lapor percaya polisi 
"Setiap kali ada kasus yang dibiarkan begitu saja, saya semakin kecewa.",sadness,,kali biar  kecewa 
Rasanya menyakitkan melihat oknum kepolisian yang menyalahgunakan wewenang.,sadness,,sakit lihat oknum polisi menyalahgunakan wewenang 
Kenapa keadilan terasa begitu jauh ketika berurusan dengan kepolisian,sadness,,adil asa urus polisi
Saya hanya bisa berharap suatu hari kepolisian benar-benar berpihak pada rakyat.,trust,,harap polisi rakyat 
Saya takut melapor ke polisi karena khawatir tidak mendapatkan keadilan.,fear,,takut lapor polisi khawatir adil 
Sering kali saya merasa lebih aman diam daripada berurusan dengan kepolisian.,fear,,kali aman diam urus polisi 
Bagaimana bisa kita merasa terlindungi jika polisi sendiri menimbulkan ketakutan?,fear,,lindung polisi timbul takut 
"Saya khawatir jika berbicara terlalu keras, justru saya yang akan disalahkan.",fear,,khawatir bicara keras  salah 
"Melihat kasus-kasus yang tidak ditangani dengan benar, saya jadi takut akan masa depan hukum di negara ini.",fear,,lihat tangan  takut hukum negara 
Kadang saya takut bahwa hukum hanya berpihak pada mereka yang punya kuasa.,fear,,kadang takut hukum kuasa 
Banyak yang takut melawan ketidakadilan karena polisi justru membela yang salah.,fear,,takut lawan ketidakadilan polisi bela salah 
"Rasanya menegangkan setiap kali melihat ada razia, meskipun tidak melakukan kesalahan.",fear,,tegang kali lihat razia  laku salah 
"Keamanan seharusnya datang dari kepolisian, bukan justru rasa cemas.",fear,,aman polisi  cemas 
"Saya takut jika suatu hari saya membutuhkan bantuan polisi, tapi mereka tidak peduli.",fear,,takut butuh bantu polisi  peduli 
Saya masih percaya bahwa kepolisian bisa berubah menjadi lebih baik.,trust,,percaya polisi ubah 
"Meskipun banyak kritik, saya yakin masih ada polisi yang benar-benar jujur.",trust,,kritik  polisi jujur 
"Kepercayaan masyarakat harus dijaga, dan saya berharap kepolisian terus berbenah.",trust,,percaya masyarakat jaga  harap polisi benah 
Saya percaya bahwa masih ada polisi yang bekerja dengan hati nurani.,trust,,percaya polisi kerja hati nurani 
"Banyak polisi baik di luar sana, mereka hanya perlu didukung dan diperlihatkan.",trust,,polisi  dukung lihat 
Kejujuran dan integritas masih bisa ditegakkan jika ada niat dari dalam kepolisian sendiri.,trust,,jujur integritas tegak niat polisi 
Saya yakin kepolisian bisa membuktikan bahwa mereka adalah penjaga keadilan.,trust,,polisi bukti jaga adil 
"Sebagian polisi masih bekerja dengan baik, dan mereka yang jujur harus didukung.",trust,,polisi kerja  jujur dukung 
Saya percaya hukum bisa berjalan dengan adil jika kepolisian benar-benar berkomitmen.,trust,,percaya hukum jalan adil polisi komitmen 
"Selama masih ada polisi yang peduli dengan keadilan, masih ada harapan untuk negeri ini.",trust,,polisi peduli adil  harap negeri 
saya semakin kecewa dengan kinerja kalian pak,sadness,,kecewa kerja
"Saya takut melapor ke polisi, takut malah dipersulit.",fear,,takut lapor polisi  takut sulit 
Berurusan dengan polisi sering kali bikin cemas.,fear,,urus polisi kali bikin cemas 
Takut kalau keadilan hanya milik yang berkuasa.,fear,,takut adil milik kuasa 
"Melapor ke polisi, tapi takut malah jadi tersangka.",fear,,lapor polisi  takut sangka 
Melihat razia polisi saja sudah bikin deg-degan.,fear,,lihat razia polisi bikin deg-degan 
Saya takut polisi lebih membela yang punya uang.,fear,,takut polisi bela uang 
Kadang lebih aman diam daripada berurusan dengan polisi.,fear,,kadang aman diam urus polisi 
Saya takut hukum tidak akan melindungi rakyat kecil.,fear,,takut hukum lindung rakyat 
Sering kali rakyat takut bersuara karena polisi.,fear,,kali rakyat takut suara polisi 
Saya takut polisi lebih berpihak pada kepentingan sendiri.,fear,,takut polisi 
Takut kalau polisi tidak benar-benar menegakkan hukum.,fear,,takut polisi tegak hukum 
Bagaimana bisa merasa aman kalau polisi pun tak bisa dipercaya?,fear,,aman polisi percaya 
Saya takut keadilan bisa dibeli dengan uang.,fear,,takut adil beli uang 
"Polisi seharusnya melindungi, tapi kenapa malah bikin takut?",fear,,polisi lindung  bikin takut 
Takut kalau polisi justru menyalahgunakan kekuasaannya.,fear,,takut polisi menyalahgunakan kuasa 
"Berharap polisi adil, tapi takut itu hanya mimpi.",fear,,harap polisi adil  takut mimpi 
Saya takut suatu hari polisi benar-benar kehilangan kepercayaan rakyat.,fear,,takut polisi hilang percaya rakyat 
Takut melapor karena tidak yakin akan ada tindakan yang adil.,fear,,takut lapor tindak adil 
Hukum terasa menakutkan ketika tidak ditegakkan dengan benar.,fear,,hukum asa takut tegak 
Kadang lebih takut sama polisi daripada sama penjahat.,fear,,kadang takut polisi jahat 
Saya takut melapor ke polisi karena sering kali korban justru tidak mendapatkan perlindungan yang layak.,fear,,takut lapor polisi kali korban lindung layak 
"Setiap kali ada razia atau patroli, saya merasa cemas, meskipun saya tidak melakukan kesalahan.",fear,,kali razia patroli  cemas  laku salah 
Banyak orang ragu untuk meminta bantuan polisi karena takut dipersulit atau tidak dianggap serius.,fear,,orang ragu bantu polisi takut sulit anggap serius 
Saya merasa takut jika suatu saat berhadapan dengan polisi yang tidak profesional dan menyalahgunakan wewenangnya.,fear,,takut hadap polisi profesional menyalahgunakan wewenangnya 
"Menegakkan keadilan seharusnya tidak membuat rakyat takut, tetapi sayangnya, banyak yang justru merasa sebaliknya.",fear,,tegak adil rakyat takut  sayang  
"Saya takut berbicara terlalu kritis tentang kepolisian, karena bisa saja saya yang malah mendapat masalah.",fear,,takut bicara kritis polisi  
Bagaimana bisa kita merasa aman jika aparat yang seharusnya melindungi justru sering bertindak semena-mena?,fear,,aman aparat lindung tindak semena-mena 
"Saya selalu khawatir jika harus berurusan dengan kepolisian, karena hasil akhirnya sering kali tidak bisa ditebak.",fear,,khawatir urus polisi  hasil kali tebak 
"Takut rasanya melihat berita tentang orang-orang yang mencari keadilan, tetapi justru mendapat tekanan dari aparat.",fear,,takut lihat berita orang cari adil  tekan aparat 
Saya takut jika suatu hari menjadi korban ketidakadilan dan tidak ada polisi yang benar-benar peduli.,fear,,takut korban ketidakadilan polisi peduli 
"Kadang saya lebih memilih diam daripada melapor ke polisi, karena takut malah dipersulit atau dicurigai.",fear,,kadang pilih diam lapor polisi  takut sulit curiga 
Sulit mempercayai kepolisian sepenuhnya ketika masih ada kasus di mana mereka tidak bertindak sesuai hukum.,sadness,,sulit percaya polisi sepenuh tindak sesuai hukum 
"Saya takut jika suatu saat saya mengalami masalah hukum, bukan karena saya salah, tetapi karena sistem yang tidak berpihak pada rakyat kecil.",fear,,takut alami hukum  salah  sistem rakyat 
"Setiap kali ada demonstrasi atau protes, saya takut polisi akan bertindak berlebihan tanpa mempertimbangkan hak rakyat.",fear,,kali demonstrasi protes  takut polisi tindak timbang hak rakyat 
"Melihat bagaimana beberapa kasus ditangani dengan tidak adil, saya jadi takut dengan masa depan hukum di negeri ini.",fear,,lihat tangan adil  takut hukum negeri 
"Saya merasa cemas melihat oknum kepolisian yang bertindak sewenang-wenang, tanpa ada sanksi yang benar-benar tegas.",fear,,cemas lihat oknum polisi tindak wenang  sanksi 
"Saya takut dengan kenyataan bahwa keadilan bisa saja dibeli, dan kepolisian tidak selalu berpihak pada yang benar.",fear,,takut nyata adil beli  polisi 
Bagaimana bisa rakyat merasa aman jika yang seharusnya melindungi justru sering bertindak kasar?,fear,,rakyat aman lindung tindak kasar 
Takut rasanya jika di masa depan polisi tidak lagi bisa dipercaya sebagai penjaga keadilan.,fear,,takut polisi percaya jaga adil 
Saya khawatir suatu hari polisi justru lebih melindungi kepentingan mereka sendiri daripada masyarakat yang mereka layani.,fear,,khawatir polisi lindung masyarakat layan 
Saya percaya masih ada polisi yang jujur.,trust,,percaya polisi jujur 
Kepercayaan rakyat harus dijaga oleh kepolisian.,trust,,percaya rakyat jaga polisi 
Polisi yang adil akan selalu didukung masyarakat.,trust,,polisi adil dukung masyarakat 
Saya yakin kepolisian bisa berbenah menjadi lebih baik.,trust,,polisi benah 
Keadilan bisa terwujud jika polisi bekerja dengan hati.,trust,,adil wujud polisi kerja hati 
Saya percaya polisi yang baik masih ada dan bekerja keras.,trust,,percaya polisi kerja keras 
Profesionalisme polisi adalah kunci kepercayaan rakyat.,netral,,profesionalisme polisi kunci percaya rakyat 
Saya yakin ada polisi yang benar-benar peduli pada rakyat.,trust,,polisi peduli rakyat 
Kepolisian yang bersih akan selalu mendapat dukungan penuh.,trust,,polisi bersih dukung penuh 
Saya percaya polisi bisa menegakkan hukum dengan adil.,trust,,percaya polisi tegak hukum adil 
Integritas polisi menentukan masa depan hukum di negeri ini.,netral,,integritas polisi hukum negeri 
Kejujuran polisi adalah harapan bagi masyarakat.,trust,,jujur polisi harap masyarakat 
Saya percaya hukum bisa ditegakkan jika polisi bekerja dengan tulus.,trust,,percaya hukum tegak polisi kerja tulus 
"Selama polisi menjunjung kebenaran, rakyat akan mendukungnya.",trust,,polisi junjung  rakyat dukung 
Polisi yang bekerja dengan hati akan selalu dipercaya.,trust,,polisi kerja hati percaya 
Saya yakin masih ada polisi yang berjuang demi keadilan.,trust,,polisi juang adil 
Kepercayaan masyarakat adalah aset terbesar kepolisian.,netral,,percaya masyarakat aset polisi 
Saya percaya polisi bisa menjadi contoh dalam penegakan hukum.,trust,,percaya polisi contoh tega hukum 
Polisi yang amanah akan selalu mendapat tempat di hati rakyat.,trust,,polisi amanah hati rakyat 
Saya yakin perubahan positif di kepolisian bisa terjadi.,trust,,ubah positif polisi 
"Masih percaya ada polisi yang jujur, semangat buat kalian yang bener-bener kerja!",trust,,percaya polisi jujur  semangat bener-bener kerja 
"Walaupun banyak kritik, gue yakin masih ada polisi yang tulus buat rakyat.",trust,,kritik  gue polisi tulus rakyat 
Semoga polisi yang baik tetap kuat dan nggak kebawa arus negatif.,trust,,moga polisi kuat nggak bawa arus negatif 
"Gue percaya kalau polisi kerja bener, pasti dihargai masyarakat.",trust,,gue percaya polisi kerja bener  harga masyarakat 
"Nggak semua polisi buruk, masih ada kok yang beneran adil.",trust,,nggak polisi buruk  beneran adil 
"Polisi yang jujur dan amanah itu keren banget, semoga makin banyak yang kayak gitu.",trust,,polisi jujur amanah keren banget  moga kayak gitu 
Salut buat polisi yang bener-bener bekerja buat keadilan!,trust,,salut polisi bener-bener kerja adil 
"Percaya deh, kalau polisi transparan, rakyat pasti lebih respek.",trust,,percaya deh  polisi transparan  rakyat respek 
"Gue yakin ada polisi yang masih pegang integritas tinggi, semangat!",trust,,gue polisi pegang integritas  semangat 
"Kalau polisi kerja dengan hati, pasti kepercayaan masyarakat balik lagi.",trust,,polisi kerja hati  percaya masyarakat 
"Mau gimana pun, kita tetep butuh polisi yang jujur dan tegas.",trust,,gimana  tetep butuh polisi jujur 
"Hormat buat polisi yang kerja bener, bukan cuma gaya doang.",trust,,hormat polisi kerja bener  gaya doang 
"Polisi yang profesional itu aset negara, semoga makin banyak yang kaya gini.",trust,,polisi profesional aset negara  moga kaya gin 
"Percaya sama polisi yang jujur, tapi kalau ada yang salah, tetep harus dikritik.",trust,,percaya polisi jujur  salah  tetep kritik 
"Gue yakin masih ada polisi yang mau berjuang buat rakyat, bukan buat kepentingan sendiri.",trust,,gue polisi juang rakyat  
Kepolisian bekerja sesuai dengan prosedur dan peraturan yang berlaku.,netral,,polisi kerja sesuai prosedur atur laku 
Setiap laporan masyarakat akan diproses sesuai dengan ketentuan hukum.,netral,,lapor masyarakat proses sesuai hukum 
"Petugas kepolisian menjalankan tugasnya di berbagai bidang, termasuk lalu lintas dan kriminalitas.",netral,,tugas polisi jalan tugas bidang  masuk lintas kriminalitas 
Kepolisian memiliki wewenang untuk melakukan penyelidikan terhadap suatu kasus.,netral,,polisi milik wewenang laku lidi hadap 
Setiap anggota kepolisian harus mengikuti pelatihan sebelum bertugas.,netral,,anggota polisi latih tugas 
Masyarakat dapat mengajukan pengaduan jika mengalami masalah terkait hukum.,netral,,masyarakat aju adu alami kait hukum 
Kepolisian memiliki berbagai unit yang menangani kasus berbeda.,netral,,polisi milik unit tangan beda 
Setiap tindakan kepolisian harus sesuai dengan undang-undang yang berlaku.,netral,,tindak polisi sesuai undang laku 
"Gue yakin masih ada polisi baik, tapi sayangnya mereka kalah suara.",trust,,gue polisi  sayang kalah suara 
Polisi melakukan patroli rutin untuk menjaga keamanan di wilayah tertentu.,trust,,polisi laku patroli rutin jaga aman wilayah 
"Kalau semua polisi tegas dan jujur, rakyat nggak bakal ragu buat percaya.",trust,,polisi jujur  rakyat nggak ragu percaya 
"Gue masih percaya sama polisi, tapi buktiin dulu kalau emang serius jaga keadilan.",trust,,gue percaya polisi  buktiin emang serius jaga adil 
"Kepercayaan rakyat itu mahal, nggak bisa didapet kalau kerja masih setengah hati.",trust,,percaya rakyat mahal  nggak didapet kerja hati 
"Gue percaya sama polisi yang profesional, bukan yang kerja buat kepentingan pribadi.",trust,,gue percaya polisi profesional  kerja pribadi 
"Jujur aja, polisi yang baik itu banyak, tapi yang buruk lebih sering disorot.",trust,,jujur aja  polisi  buruk sorot 
"Semangat buat polisi yang kerja dengan jujur, semoga makin banyak yang kayak gini!",trust,,semangat polisi kerja jujur  moga kayak gin 
Polisi yang amanah dan adil pasti selalu dihormati rakyat.,trust,,polisi amanah adil hormat rakyat 
Gue percaya polisi bisa lebih baik kalau semua berani lawan korupsi di dalamnya.,trust,,gue percaya polisi berani lawan korupsi 
"Nggak semua polisi buruk, yang bener-bener kerja buat rakyat harus diapresiasi.",trust,,nggak polisi buruk  bener-bener kerja rakyat apresiasi 
Semoga polisi terus berbenah biar makin dipercaya masyarakat.,trust,,moga polisi benah biar percaya masyarakat 
Salut buat polisi yang tetap jujur dan berani menegakkan hukum dengan adil!,trust,,salut polisi jujur berani tegak hukum adil 
"Kalau polisi transparan dan profesional, kepercayaan masyarakat pasti meningkat.",trust,,polisi transparan profesional  percaya masyarakat tingkat 
"Percaya sama polisi yang kerja dengan hati, semoga ke depan makin banyak yang seperti itu.",trust,,percaya polisi kerja hati  moga 
Hukum bisa lebih baik kalau polisi benar-benar menjalankan tugasnya dengan integritas.,trust,,hukum polisi jalan tugas integritas 
"Tetap percaya sama polisi yang jujur, semoga ke depan makin banyak perubahan positif.",trust,,percaya polisi jujur  moga ubah positif 
"Rakyat butuh kepastian hukum, bukan cuma janji manis yang ujung-ujungnya zonk!",anger,,rakyat butuh hukum  janji manis ujung zonk 
"Gimana rakyat mau percaya kalau yang salah malah dilindungi, tapi yang benar ditekan?",anger,,gimana rakyat percaya salah lindung  tekan 
"Tugas utama polisi itu melindungi rakyat, bukan malah menindas dan mempersulit!",anger,,tugas utama polisi lindung rakyat  tindas sulit 
Setiap kasus yang dilaporkan akan diproses sesuai dengan prosedur yang ada.,netral,,lapor proses sesuai prosedur 
Kepolisian bekerja sama dengan lembaga lain dalam menegakkan hukum.,netral,,polisi kerja lembaga tegak hukum 
Polisi bertugas mengatur lalu lintas demi kelancaran transportasi.,netral,,polisi tugas atur lintas lancar transportasi 
Kepolisian memiliki sistem pelaporan online untuk memudahkan masyarakat.,netral,,polisi milik sistem lapor online mudah masyarakat 
Setiap daerah memiliki kantor kepolisian yang berfungsi melayani masyarakat.,netral,,daerah milik kantor polisi fungsi layan masyarakat 
Anggota kepolisian dapat dipindahtugaskan ke daerah lain sesuai kebijakan.,netral,,anggota polisi dipindahtugaskan daerah sesuai bijak 
Penyidikan suatu kasus memerlukan waktu sesuai dengan tingkat kompleksitasnya.,netral,,sidi sesuai tingkat kompleksitas 
Polisi memiliki kewenangan untuk menindak pelanggaran lalu lintas.,netral,,polisi milik wenang tindak langgar lintas 
Masyarakat dapat mengakses informasi tentang kinerja kepolisian melalui laporan tahunan.,netral,,masyarakat akses informasi kerja polisi lapor 
Kepolisian menggunakan teknologi untuk mendukung proses investigasi.,netral,,polisi teknologi dukung proses investigasi 
"Kinerja buruk tapi tiap tahun minta naik gaji, apa yang dinaikin kalau kerja aja nggak becus?",anger,,kerja buruk gaji  dinaikin kerja aja nggak becus 
"Giliran demo rakyat langsung ditindak, tapi koruptor malah dikawal dengan santai!",anger,,gilir demo rakyat langsung tindak  koruptor kawal santai 
"Katanya penegak hukum, tapi malah jadi bagian dari kejahatan! Gimana rakyat mau percaya?",anger,,tegak hukum  jahat  gimana rakyat percaya 
"Polisi tugasnya bukan cuma tilang di jalan, coba lihat kejahatan yang lebih besar di depan mata kalian!",anger,,polisi tugas tilang jalan  coba lihat jahat mata 
"Jangan cuma pamer prestasi di media, kalau di lapangan masih banyak kasus yang kalian abaikan!",anger,,pamer prestasi media  lapang abai 
"Kalian dikasih wewenang untuk melindungi rakyat, bukan buat nyari keuntungan pribadi!",anger,,kasih wewenang lindung rakyat  nyari untung pribadi 
"Susah banget cari polisi yang benar-benar kerja buat rakyat, yang ada malah sibuk cari aman sendiri!",anger,,susah banget cari polisi kerja rakyat  sibuk cari aman 
Hukum cuma buat yang miskin! Yang kaya mah bebas seenaknya!,anger,,hukum miskin  kaya mah bebas enak 
"Polisi tugasnya bikin aman, bukan malah bikin rakyat takut!",anger,,polisi tugas bikin aman  bikin rakyat takut 
"Lama-lama semua disebut oknum, terus mana yang bener?",anger,,oknum  bener 
"Kalau hukum bisa dibeli, rakyat kecil tinggal pasrah aja?!",anger,,hukum beli  rakyat tinggal pasrah aja  
Nggak usah sok berwibawa kalau masih pilih kasih dalam menindak!,anger,,nggak sok wibawa pilih kasih tindak 
"Kasus viral baru gercep! Kalau nggak, pasti diabaikan!",anger,,viral gercep  nggak  abai 
"Ngurus SIM aja ribet, isinya pungli semua!",anger,,ngurus sim aja ribet  isi pungli 
"Keamanan cuma buat yang bayar, rakyat biasa cuma dapat janji palsu!",anger,,aman bayar  rakyat janji palsu 
"Bukti udah di depan mata, tapi masih alasan ""proses penyelidikan""!",anger,,bukti udah mata  alas  proses lidi  
"Jangan salahkan masyarakat nggak percaya, liat sendiri kinerja kalian!",anger,,salah masyarakat nggak percaya  liat kerja 
"Kalau rakyat protes dibilang nggak menghormati hukum, lah kalian gimana?",anger,,rakyat protes bilang nggak hormat hukum  gimana 
"Pakai seragam doang, tapi kelakuan kaya preman jalanan!",anger,,pakai seragam doang  laku kaya preman jalan 
Polisi kerja buat siapa sih? Kok yang jelas-jelas salah malah dilindungi?,anger,,polisi kerja sih  salah lindung 
"Jangan cuma pencitraan, buktikan kalau bener-bener kerja!",anger,,citra  bukti bener-bener kerja 
"Jangan cuma tegas di jalanan, tapi di ruang sidang malah melempem!",anger,,jalan  ruang sidang melempem 
"Dikit-dikit ""damai aja"", hukum negara kok jadi kayak tawar-menawar?!",anger,,dikit  damai aja   hukum negara kayak tawar  
Lapor hilang motor malah ditanya "udah ikhlasin aja"?! SERIUS?,anger,,lapor hilang motor  udah ikhlasin aja    serius 
"Kalau nggak ada kamera dan sosial media, semua kasus pasti tenggelam!",anger,,nggak kamera sosial media  tenggelam 
"Gaji dari pajak rakyat, tapi malah ngehancurin kepercayaan rakyat!",anger,,gaji pajak rakyat  ngehancurin percaya rakyat 
Kepolisian adalah lembaga yang bertugas menjaga ketertiban dan keamanan.,netral,,polisi lembaga tugas jaga tertib aman 
Setiap laporan yang masuk akan diproses sesuai prosedur yang berlaku.,netral,,lapor masuk proses sesuai prosedur laku 
Polisi memiliki berbagai unit dengan tugas yang berbeda-beda.,netral,,polisi milik unit tugas beda 
Hukum ditegakkan berdasarkan peraturan yang telah ditetapkan.,netral,,hukum tegak dasar atur 
Polisi memiliki kewenangan untuk melakukan penyelidikan dan pemeriksaan.,netral,,polisi milik wenang laku lidi periksa 
Kepolisian bekerja dalam koordinasi dengan berbagai instansi terkait.,netral,,polisi kerja koordinasi instansi kait 
Pengawasan terhadap kinerja kepolisian dilakukan oleh lembaga yang berwenang.,netral,,awas hadap kerja polisi laku lembaga wenang 
Setiap kasus yang ditangani akan melalui proses investigasi sesuai aturan.,netral,,tangan proses investigasi sesuai atur 
Kepolisian memiliki peran dalam pengamanan kegiatan masyarakat.,netral,,polisi milik peran aman giat masyarakat 
"Pelayanan kepolisian mencakup berbagai aspek, termasuk administrasi hukum.",netral,,layan polisi cakup aspek  masuk administrasi hukum 
Petugas kepolisian diberikan pelatihan sebelum menjalankan tugasnya.,netral,,tugas polisi latih jalan tugas 
Prosedur penanganan kasus mengacu pada hukum yang berlaku.,netral,,prosedur tangan acu hukum laku 
Polisi berperan dalam mengatur lalu lintas untuk menjaga kelancaran jalan.,netral,,polisi peran atur lintas jaga lancar jalan 
Kepolisian memiliki mekanisme pengaduan bagi masyarakat yang membutuhkan.,netral,,polisi milik mekanisme adu masyarakat butuh 
"Dalam menjalankan tugasnya, polisi mengikuti standar operasional yang ditentukan.",netral,,jalan tugas  polisi standar operasional 
Setiap anggota kepolisian memiliki tanggung jawab dalam menjalankan tugasnya.,netral,,anggota polisi milik tanggung jalan tugas 
Kepolisian bekerja di bawah regulasi yang ditetapkan pemerintah.,netral,,polisi kerja regulasi perintah 
Laporan masyarakat menjadi salah satu sumber informasi bagi kepolisian.,netral,,lapor masyarakat salah sumber informasi polisi 
Teknologi digunakan oleh kepolisian untuk membantu dalam penyelidikan kasus.,netral,,teknologi polisi bantu lidi 
Kepolisian memiliki tugas untuk menjaga keamanan dalam berbagai situasi.,netral,,polisi milik tugas jaga aman situasi 
"Kelakuan kayak preman, tapi minta dihormati! Gimana rakyat mau respek?!",anger,,laku kayak preman  hormat  gimana rakyat respek  
"Polisi harusnya melindungi rakyat, bukan malah bikin susah!",anger,,polisi lindung rakyat  bikin susah 
Percuma ada hukum kalau polisi masih tebang pilih!,anger,,hukum polisi tebang pilih 
"Keadilan cuma buat yang punya uang, rakyat kecil nggak dianggap!",anger,,adil uang  rakyat nggak anggap 
"Bosen liat berita polisi korup, kapan benernya?!",anger,,bosen liat berita polisi korup  benernya  
Susah banget cari polisi jujur sekarang! Kecewa banget!,anger,,susah banget cari polisi jujur  kecewa banget 
"Kalau polisi nggak becus kerja, jangan harap rakyat percaya lagi!",anger,,polisi nggak becus kerja  harap rakyat percaya 
"Rakyat butuh keadilan, bukan janji kosong dari polisi!",anger,,rakyat butuh adil  janji kosong polisi 
"Ngurus laporan aja ribet, polisi kerja atau enggak sih?",anger,,ngurus lapor aja ribet  polisi kerja sih 
"Kenapa kalau kasus kecil polisi sigap, tapi kalau kasus besar malah lama?!",anger,,polisi sigap   
"Gaji dari pajak rakyat, tapi kerja seenaknya!",anger,,gaji pajak rakyat  kerja enak 
Harus berapa banyak korban dulu sampai polisi bener-bener bertindak?!,anger,,korban polisi bener-bener tindak  
"Jangan cuma garang sama rakyat kecil, yang gede juga ditindak dong!",anger,,garang rakyat  gede tindak 
