text,preprocessed
Ngeliat kecurangan di dirty vote Hmm jgn sok kaget lu org yang suka nerabas lampu merah nyogok buat bikin sim minta damai sm polisi nyelak antrian buang sampah sembarangan Memang begini kok negara kita Nurut wa harus dibanyakin film2 model kek gini biar pada sadar,ngeliat curang dirty vote hmm jgn sok kaget lu org suka nerabas lampu merah nyogok buat bikin sim minta damai sama polisi nyelak antri buang sampah sembarang memang begini kok negara nurut wa dibanyakin film model kek gin biar sadar
@DivHumas_Polri Lha nggak kaget sih kalau polisi nggak netral. Dari jaman bapakku almarhum jd polisi waktu itu semua harus coblos golkar,lha kaget sih kalau polisi netral jaman bapak almarhum jd polisi waktu semua coblos golkar
@KompasTV 02 panik.. Jgn kaget bsk tim relawan JKW pasti ada yg lapor polisi atas tuduhan fitnah. Akan ada demo bayaran menentang film Link youtube lsg kena take down. Semoga para kru tdk diculik.,panik jgn kaget bsk tim rawan jkw lapor polisi atas tuduh fitnah demo bayar film link youtube lsg kena take down moga kru tidak culik
Pak Menteri Hadi @TjahjantoHadi kaget ternyata Polisi yg menerima sertipikat tanah ini. @kem_atrbpn #MelayaniDenganHati https://t.co/DD9qg3NNYB,pak menteri had kaget nyata polisi terima sertipikat tanah
@HukumDan Polisi berdiri sambil pegang gergaji sinso dia lalu memotong Tiang Mesjid Sypun kaget dan terbangun Pdhl 2019 saya mdkg Prabowo Tadi malam saya mimpi Saya berlari lari dengan orang orang yg sangat banyak sekali Berlari penuh dengan ketakutan sambil ada yg berteriak2 Prabowo mng,polisi diri pegang gergaji sinso lalu potong tiang mesjid sypun kaget bangun padahal mdkg prabowo tadi malam mimpi lari lari orang orang sangat banyak sekali lari penuh takut teriak prabowo mng
Mesti di bunderan ugm... Pas itu aku pulang kuliah lewat gerbang bunderan rame bgt mahasiswa pke baju item sama pak polisi DAN AKU PAKE BLOUSE HITAM PAS AN LANGSUNG KAGET DAN TAKUT ,mesti bunderan ugm pas aku pulang kuliah lewat gerbang bunderan rame banget mahasiswa pke baju item sama pak polisi aku pake blouse hitam pas an langsung kaget takut
Ketua PPK Wonogiri Tertangkap Polisi karena Narkoba Jelang Pemilu KPU Kaget https://t.co/SJImJJWjVb https://t.co/gUZu2BEQSs,ketua ppk wonogiri tangkap polisi narkoba jelang milu kpu kaget
@convomfs kumpulin bukti klo dia nyuruh kami aborsi dan ngomong ke ortu kamu dan dia klo ortu dia ga ada aksi apapun langsung lapor polisi jangan ngomong ke keluarga dia klo km bakal lapor tapi langsung aja biar mereka kaget lapor polisi karna nyuruh aborsi bisa kok dipenjara,kumpulin bukti klo nyuruh aborsi ngomong ortu kamu klo ortu gak aksi apa langsung lapor polisi jangan ngomong keluarga klo km bakal lapor langsung biar kaget lapor polisi karna nyuruh aborsi kok penjara
Kaget liat timeline X suka muncul iklan Judol. Bukannya polisi lagi gencar2nya nangkepin orang yg promosi Judi Online ya? Ini kok masih aja ada artis yg promosiin akun Judol gini deh @DivHumas_Polri @CCICPolri @ahriesonta ? https://t.co/MDV9VWIduG,kaget liat timeline x suka muncul iklan judol bukan polisi gencar nangkepin orang promosi judi online kok artis promosiin akun judol gin deh
@kegblgnunfaedh liat dr sikap adeknya yg nerusin wudhu kyknya ini bukan pertama kali~ soalnya pasti reaksi pertama teriak atau ngeronta dikit. tapi si adek ga kaget trus ttep wudhu kasihan sih sebenernya. yg punya video harusnya teriakkin langsung tolong sesama itu ga harus ke polisi langsung,liat sikap adeknya nerusin wudhu kyknya bukan pertama kali soal reaksi pertama teriak ngeronta dikit si adek gak kaget terus ttep wudhu kasihan sih sebenernya punya video teriakkin langsung sama gak polisi langsung
Ini anak suwon kaget ga ya senayan dijagain 2000an polisi,anak suwon kaget gak senayan dijagain an polisi
Lagi Asyik Tidur Pelaku Pencurian Mobil Kaget Polisi Tiba-tiba Datang dan Menangkapnya https://t.co/WdIwoLYRx4 via @tribunnews,asyik tidur laku curi mobil kaget polisi tiba tiba datang tangkap via
@REP0RT_ID Polisi lagi tidur saat mereka demo? Sdh viral baru kaget mau kejar.... ,polisi tidur demo sdh viral baru kaget mau kejar
Jarang kaget sm plot twist tp sumpah ngagetin bgt Tatiana sama anak Berlin pura2 jadi polisi. Awalnya agak curiga pas di masa lalu Tatiana bahas emas terus. Skrng semua masuk akal. Minimal mah anak berlin ganteng jd keselnya bs sambil mengagumi ketampanan tp ini jlk bgt dia pls,jarang kaget sama plot twist sumpah ngagetin banget tatiana sama anak lin pura jadi polisi awal curiga pas masa lalu tatiana bahas emas terus skrng semua masuk akal minimal mah anak lin ganteng jd kesel bs kagum tampan jlk banget pls
pas akhir smp tuh adnan sempet kena masalah yang bikin dia dibawa ke kantor polisi ibunya kaget dong kek loh kok anak saya tiba2 ada di kantor polisi emangnya dia ngapain... sejauh ini blio ngerasa nakalnya adnan tuh cuma main di warnet ampe tengah malem,pas akhir smp tuh adnan sempet kena masalah bikin bawa kantor polisi ibu kaget dong kek loh kok anak tiba kantor polisi emang ngapain jauh blio ngerasa nakal adnan tuh cuma main warnet ampe tengah malem
Warga Kaget Saat Polisi Berikan Tembakan Peringatan https://t.co/Ohfe81ljZR https://t.co/8E6yzY41n5,warga kaget polisi ikan tembak ingat
Kelakuan polisi mamarika ini Gak jauh beda ama Zionist. Dan gak kaget juga kalau beberapa kepolisian di sana pernah melakukan latihan atau mendapat latihan dari negara zionist tai.,laku polisi mamarika gak jauh beda ama zionist gak kaget kalau beberapa polisi sana pernah laku latih latih negara zionist tai
ya allah.. sayangku.. kpn sampenya.. knpa kok sdh tampan di meja akad (?) mksdnya meja pensa.. km naik pesawat apa pintu doraemon.. ini rill kh previewnya fren? kaget kecil.. terlalu tampan.. keterlaluan.. pak polisi.. help https://t.co/T0Q8rTGkb1,allah sayang kpn sampenya knpa kok sdh tampan meja akad mksdnya meja pensa km naik pesawat apa pintu doraemon rill kh preview fren kaget kecil terlalu tampan terlalu pak polisi help
agak kaget di chat ama org pake baju polisi trus manggil syifa bukan naura... https://t.co/dD6ryNoxH3,kaget chat ama org pake baju polisi terus manggil syifa bukan naura
Hal itu benar benar saya terapkan sih... Beneran dunia jadi lebih menyenangkan. Coba aja kalau gak percaya. Kadang anak saya suka kaget kok mommy kenal sama Pak Polisi tadi? Kok tahu namanya dan akrab banget? ... Saya jawab mommy gak kenal tapi kan ada namanya di seragamnya ,benar benar terap sih beneran dunia jadi lebih senang coba kalau gak percaya kadang anak suka kaget kok mommy kenal sama pak polisi tadi kok tahu nama akrab banget jawab mommy gak kenal kan nama seragam
punten itu polisi tidur di perumdos diapain gitu kek diwarnain putih ato apa suka kaget tiba-tiba ada polisi tidur tapi ga keliatan soalnya nyatu sama warna jalan ,punten polisi tidur perumdos diapain gitu kek diwarnain putih ato apa suka kaget tiba tiba polisi tidur gak liat soal nyatu sama warna jalan
loh kan dalam sejarah pembentukan negara adalah untuk melayani kebutuhan para pemodal (pengusaha/ kapitalis) Selain feodalism sudah tidak relevan tentunya. polisi dsb dibuat sebagai penjaga kepentingan mereka. Engga kaget.,loh kan sejarah bentuk negara layan butuh modal usaha kapitalis feodalism tidak relevan polisi buat bagai jaga penting engga kaget
@HoofdbureauID kui sing dicekel kaget kok wong-wong iki modele koyok boloku jebul malah polisi,kui sing cekel kaget kok wong wong iki modele koyok boloku jebul malah polisi
sumpah iya lg gua kaget waktu ke bintaro ad polisi tidur yg gede banget itu,sumpah iya gua kaget waktu bintaro ad polisi tidur gede banget
@kompascom Waduh kaget saya harusnya gitu pak biar jadi meme lagi https://t.co/Vi28Y1bLjP,waduh kaget gitu pak biar jadi meme
@ambistidurr Dekat Sampang Cilacap semua penumpang turun untuk istirahat selesai istirahat ke 7 mahasiswa tsb kaget karena semua laptop mereka sudah lenyap. Lapor polisi lalu dilakukan penggeledahan... tak ditemukan. Lalu bus jalan lagi dengan penuh muatan kekecewaan,dekat sampang cilacap semua tumpang turun istirahat selesai istirahat mahasiswa tsb kaget semua laptop lenyap lapor polisi lalu laku geledah tak temu lalu bus jalan penuh muat kecewa
Kakek 80 Tahun Bikin Perwira Polisi Kaget 7 Tahun Jalan Kaki Datangi 261 Makam Para Wali &amp; Presiden RI https://t.co/EG8Sb4A3HT,kakek tahun bikin perwira polisi kaget tahun jalan kaki datang makam wali amp presiden ri
Nggak kaget gue dlu lapor polisi cuma sampe bikin laporan kehilangan lol abisnya udah,kaget gue dlu lapor polisi cuma sampe bikin lapor hilang lol abis udah
Om gw pejabat polisi.. Dan gw gak kaget gmn dia bs dpt duit banyak dlm kurun waktu kurang dr 6 bulan.. wkwkwk,om gw jabat polisi gw gak kaget gmn bs duit banyak kurun waktu kurang bulan wkwkwk
@rindingdong13 Lo tbtb klo ketangkep polisi grgr balap liar ferrari gue sih gak kaget,lo tbtb klo ketangkep polisi grgr balap liar ferrari gue sih gak kaget
@SuzukiIndonesia Di Acara uang kaget polisi ikut naik pick up gpp,acara uang kaget polisi ikut naik pick up gpp
Punya ga sih temen yg kalau ada polisi tidur dia lgsg desah gitu kaget babi,punya gak sih temen kalau polisi tidur lgsg desah gitu kaget babi
Liat orang ditangkep karena orasi. Tapi yang bikin kaget itu ada Ketua DPRD turun langsung selametin rakyatnya biar ngga ditangkep polisi. Beliau dari PDIP. Ngga pernah terbayang sebelumnya. Mahkotamu ratu. ,liat orang ditangkep orasi bikin kaget ketua dprd turun langsung selametin rakyat biar ngga ditangkep polisi beliau pdip ngga pernah bayang belum mahkota ratu
Bpk kos baru gue.. polisi MANA CARA NGOMONGNYA PERSIS BGT SAMA ABANG GUE FAK EVEN CARA KETAWANYA SUMPAHHHHHH GUE KAGET,bpk kos baru gue polisi mana cara ngomongnya persis banget sama abang gue fak even cara ketawa sumpahhhhhh gue kaget
Gue lagi nunggu obat di rs terus ada bapak bapak nelpon bilang gini halo kantor polisi kaget dong eh ternyata beliau kerja di lapas ,gue nunggu obat rs terus bapak bapak nelpon bilang gin halo kantor polisi kaget dong eh nyata beliau kerja lapas
barusan lewat jl prawirotaman kaget bgt tbtb ada konvoi polisi sm rombongan pejabat mau ada acara apa emg di jogja?,barusan lewat jl prawirotaman kaget banget tbtb konvoi polisi sama rombong jabat mau acara apa emg jogja
gua kaget si tadi pas mau bikin surat kehilangan ke kantor polisi buat bikin ktp ga bayar anjir ternyata⁉️⁉️ terus lanjut ke kantor kelurahan buat bikin ktp lagi dan lgsg jadi anjirrrr⁉️⁉️ best banget dehh kebayoran baru‼️,gua kaget si tadi pas mau bikin surat hilang kantor polisi buat bikin ktp gak bayar anjir nyata terus lanjut kantor lurah buat bikin ktp lgsg jadi anjirrrr best banget dehh kebayoran baru
@muffoins 2 lagi pasti bisa selesai malam ini. Asli! Mungkin senior ya jadi gak usah diragukan lagi. Agak kaget karakter utamanya biasa jadi villain ini jadi orang bener. :) Mhs polisi yang main hakim sendiri for a reason. Boleh cek-cek sinopsisnya. Aa itu iya tau. Udah berapa episode?,selesai malam asli mungkin senior jadi gak usah ragu kaget karakter utama biasa jadi villain jadi orang bener mhs polisi main hakim sendiri for a reason cek cek sinopsis aa iya tau udah berapa episode
@RodriChen serius sejarahnya gini? wew kaget soalnya tetanggaku ada polisi mantan petugas yg ditugaskan di timor leste dan kemarin habis bikin perkumpulan mantan pejuang timtim dan katanya sih mau menuntut dana atas jasa mereka ke pemerintah,serius sejarah gin wew kaget soal tetangga polisi mantan tugas tugas timor leste kemarin habis bikin kumpul mantan juang timtim kata sih mau tuntut dana atas jasa perintah
Pas diajak ke polsek kaget lihat baget gue. Kiraian mau ngurus SKCK atau surat kehilangan taunya malah curhat ke pak polisi suruh memproses selingkuhan pacarnya atas dasar pencemaran nama baik. Untung aja sama pak polisinya ngga diproses ,pas ajak polsek kaget lihat baget gue kirai mau ngurus skck surat hilang tau malah curhat pak polisi suruh proses selingkuh pacar atas dasar cemar nama baik untung sama pak polisi ngga proses
kaget bgt pas liat di ending nulis bonus 100jt wonnya ga dikasi ama polisi trs duit damai dr bos sindikat penipunya jg dia ga terima lalu dia ke qingdao dihajar ama bosnya for what? https://t.co/trsSwbkm2J,kaget banget pas liat ending nulis bonus jt won gak kasi ama polisi terus duit damai bos sindikat tipu gak terima lalu qingdao hajar ama bos for what
wow..kaget gw. Issue menarik ini PNS jg pejabat publik loh polisi yg duduk punya jabatan sipil di pemerintahan jg pejabat publik...hancur negara jd nya dr demokrasi ke otoriter ,wow kaget gw issue tarik pns jabat publik loh polisi duduk punya jabat sipil perintah jabat publik hancur negara jd nya demokrasi otoriter
@polisiidol Ah ini fungsinya polisi idol jngn marah marah ya teman2 butuh akun yg gini asli dah,ah fungsi polisi idol jngn marah marah teman butuh akun gin asli dah
@aimr0d kaget sialan wkwkwk https://t.co/25EXzKqB9h,kaget sial wkwkwk
Niatnya nyari adek kelas di depan sekolah tau2 lulusan smanya bawa vespa sm stik golf Motor yg diujung dr berdiri sung jatoh smua dpn sman3 trs kita yg lagi duduk dpn pos polisi kaget loh pada lari kenapa woy kunci motor,niat nyari adek kelas depan sekolah tau lulus smanya bawa vespa sama stik golf motor ujung diri sung jatoh smua dpn sman terus duduk dpn pos polisi kaget loh lari woy kunci motor
@OZHYUNSUK SUMPAH KAGET. itu bukannya polisi yang kanan?,sumpah kaget bukan polisi kanan
@RandomWorldWar Di lampu merah turunan Tanah Putih Semarang pas mau balik ke rumah di Jl. Tentara Pelajar aku pernah jadi saksi mata penyergapan pelaku kejahatan. Tarrrr.... suara tembakan yg tidak sekeren di film itu cukup bikin kaget. Pas si polisi teriak Jangan bergerak...!!! (cont...),lampu merah turun tanah putih semarang pas mau balik rumah jl tentara ajar aku pernah jadi saksi mata sergap laku jahat tarrrr suara tembak tidak keren film cukup bikin kaget pas si polisi teriak jangan gerak cont
@ngurahsaka Kaget? Tentu tidak. Menyayangkan hal ini tentu iya. Seharusnya yg dicari juga si jamet2 itu mediasi lalu cari solusinya agar hal tsb tidak terjadi lagi (cat calling &amp; ugal) toh tugas polisi juga sbg sang mediator agar hal serupa tidak terjadi bukannya nyuruh si hero minta maaf,kaget tidak sayang iya cari si jamet mediasi lalu cari solusi tsb tidak jadi cat calling amp ugal tugas polisi sbg sang mediator rupa tidak jadi bukan nyuruh si hero minta maaf
Kaget? Tentu tidak. Menyayangkan hal ini tentu iya. Seharusnya yg dicari juga si jamet2 itu mediasi lalu cari solusinya agar hal tsb tidak terjadi lagi (cat calling &amp; ugal) toh tugas polisi juga sbg sang mediator ye ga?,kaget tidak sayang iya cari si jamet mediasi lalu cari solusi tsb tidak jadi cat calling amp ugal tugas polisi sbg sang mediator ye gak
31. 3⭐ standar film aksi polisi HK thn 90an Menarik dgn aksi tarung-stunt yg msh real &amp; low-tech Agak kaget jg ujug2 ada adegan 'operasi ngambil peluru' itu Yg absurd tentu saja adegan sang penjahat nonton video klip Cold Heartednya Paula Abdul tp disubnya Madonna https://t.co/D8pvZSXsAS,standar film aksi polisi hk thn an tarik dgn aksi tarung stunt msh real amp low tech kaget ujug adegan operasi ngambil peluru absurd adegan sang jahat nonton video klip cold heartednya paula abdul sub madonna
@ndrosubiyanto Emang lagi rame baget bang.. pas lewat kaget banget dengar suara tembakan 3x. Trus tiba2 rame banget polisi baju preman lari2an mondar mandir.. yg dikejar cuma 1 orang ,emang rame baget bang pas lewat kaget banget dengar suara tembak x terus tiba rame banget polisi baju preman lari mondar mandir kejar cuma orang
Kaget tiba-tiba banyak Polisi seliweran depan rumah ternyata lagi ada yang kampanye di lapangan deket rumah. Hmm~,kaget tiba tiba banyak polisi seliwer depan rumah nyata kampanye lapang deket rumah hmm
sekarang gue ngerti kenapa kaget poom 03l.. soalnya doi di series itu udah lulus kuliah dan lolos jadi polisi,sekarang gue ngerti kaget poom l soal doi series udah lulus kuliah lolos jadi polisi
Kaget pas lewat gang ada bocah naik sepeda listrik langsung nyelonong untung aja ada polisi tidur jadinya gue pelan bawa motornya.,kaget pas lewat gang bocah naik sepeda listrik langsung nyelonong untung polisi tidur jadi gue pelan bawa motor
@aku_g_kaget_lae @polisiidol Cuma polisi polisian itu yg tau,cuma polisi polisi tau
TPN Ganjar-Mahfud Kaget Palti Hutabarat Ditangkap Minta Polisi Tak Lakukan Penahanan https://t.co/Vx0MxH15TC,tpn ganjar mahfud kaget palti hutabarat tangkap minta polisi tak laku tahan
lu tar jgn pada kaget klo taehyung pulang wamil main drakor jadi polisi kayak hyunsik di happines,lu tar jgn kaget klo taehyung pulang wamil main drakor jadi polisi kayak hyunsik happines
@AganKyubey Gak kaget sih kyu semangat kyu,gak kaget sih kyu semangat kyu
Gue pecinta fantasi dan aksi. Jadi bayangin betapa kaget dan senangnya gue menemukan series dengan tema action dengan akting yang apik tema yang jarang dibahas (polisi-polisian ofc) and as someone who reads history and myths randomly The Sign beneran kayak angin segar buat gue,gue cinta fantasi aksi jadi bayangin betapa kaget senang gue temu series tema action akting apik tema jarang bahas polisi polisi ofc and as someone who reads history and myths randomly the sign beneran kayak angin segar buat gue
Mau cerita hari ini aku pulang lewat jalan yang gak biasa gara-gara kelewatan belokan ke jalan yang biasa aku lewatinnya. Akhirnya aku lewat tugu kann terus kaget kok rame polisi anjir udah ketar-ketir takut kena tilang atau razia apa gimana ini?? Tapi yaudah bismillah aja kann,mau cerita hari aku pulang lewat jalan gak biasa gara gara lewat belok jalan biasa aku lewatinnya akhir aku lewat tugu kann terus kaget kok rame polisi anjir udah ketar tir takut kena tilang razia apa gimana yaudah bismillah kann
Tadi dijalaann aku kaget langsung nyeletuk ni motor ngebut ngebut bgt berasa lagi main kejar2an EH BENER ANJAY POLISI LAGI NGEJAR BURONAN malah jadi gua sama tmn gua degdegan.. ini posisinya diperumahan banyak yg lalu lalang gtu loh bukan jalan rayaa...,tadi dijalaann aku kaget langsung nyeletuk ni motor ngebut ngebut banget asa main kejar eh bener anjay polisi ngejar buron malah jadi gua sama tmn gua degdegan posisi rumah banyak lalu lalang gtu loh bukan jalan rayaa
Gw lg antri keluar pas satu copetnya lg digiring polisi. Lewat persis samping gw ampe kaget Heboh bener. Berarti pas gw udah berhasil keluar ada copet lagi ya. Antara nekad &amp; gila beda tipis copet2 ini,gw antri keluar pas satu copet giring polisi lewat persis samping gw ampe kaget heboh bener arti pas gw udah hasil keluar copet nekad amp gila beda tipis copet
Wong cilik ameh gawe omah wae ujiane gede. Ngadepi Preman Angel Lapor Polisi mek kon Tenang. Rak kaget ,wong cilik ameh gawe omah wae ujiane gede ngadepi preman angel lapor polisi mek kon tenang rak kaget
@polisiidol ga kaget sih branding nya aja polisi idol ,gak kaget sih branding nya polisi idol
@strike_bravo_b Tapi dalam hal serius: Pasang billboard cost more daripada spanduk biasa. Pasang di jaringan iklan juga riskan karena meski kita tau list billboard nya dimana aja both parties bisa aja luput dengan nempatin iklan di pos polisi Mknya kmrn gue agak kaget-bingung kok bisa gt,serius pasang billboard cost more spanduk biasa pasang jaring iklan riskan meski tau list billboard nya mana both parties luput nempatin iklan pos polisi mknya kmrn gue kaget bingung kok gt
omg jangan-jangan penculik!!! ga pake mikir panjang gyubi langsung lari terus ngelepasin gandengan tangan yucil sama orang asing ini. terus 2-2nya nengok ke gyubi kaget. eh berani-beraninya ya nyulik anak orang di siang bolong gini!! kamu mau saya masukin ke polisi hah? ,omg jangan jangan culik gak pake mikir panjang gyubi langsung lari terus ngelepasin gandeng tangan yucil sama orang asing terus nya nengok gyubi kaget eh berani berani nyulik anak orang siang bolong gin kamu mau masukin polisi hah
anjir kaget cok kirain ditangkap polisi mana mukanya kek panik lagi,anjir kaget cok kirain tangkap polisi mana muka kek panik
Selamat Pagi Sobat Lantas...! Jangan Kaget ya.. Lihat banyak Polisi pagi-pagi di jalan Mereka Hadir untuk melayani masyarakat Pengguna Jalan https://t.co/cm1wmWiMq6,selamat pagi sobat lantas jangan kaget lihat banyak polisi pagi pagi jalan hadir layan masyarakat jalan
Orang Tua 139 Pesilat Kaget hingga Nangis Anaknya Diamankan Polisi Surabaya https://t.co/TO6V4lyVnq,orang tua silat kaget hingga nang anak aman polisi surabaya
Karina aespa Buat Kaget Fotografer Milan Fashion Week sampai Mau Panggil Polisi Netizen: Padahal Baru... - Kpop Chart - Kpop Chart https://t.co/IdnNiklCk7,karina aespa buat kaget fotografer mil fashion week mau panggil polisi netizen padahal baru kpop chart kpop chart
@shelykarma @HabisNontonFilm Ini jg scene terakhir bikin penasaran. Setelah scene kepsek di pinggir sungai antara mau loncat atau engga terus ad scene org2 kaget karena ad suara ambulans. Itu maksudnya ambulans/polisi nemuin mayat siapa? Yori dan minato atau si kepsek?,scene akhir bikin penasaran scene kepsek pinggir sungai mau loncat engga terus ad scene org kaget ad suara ambulans maksud ambulans polisi nemuin mayat siapa yori minato si kepsek
kaget tiba2 polisi ke rumah,kaget tiba polisi rumah
DATANG MAMANYA SI A BAWA PISTOOOL. Si A cuma diam kaku ngeliat itu. Tau gak pistolnya di arahin ke siapa?? KE B KE KEPALANYA BBBB. AKU SAMA C D KAGET TERUS AKU BILANG MAU LAPOR POLISI DIA BILANG GAK AKAN BISA,datang mama si a bawa pistoool si a cuma diam kaku ngeliat tau gak pistol arahin siapa b kepala bbbb aku sama c d kaget terus aku bilang mau lapor polisi bilang gak
Kaget tenan V60 Japanese ng Kediri sik 25ewu eh Waw,kaget tenan v japanese ng diri sik ewu eh waw
@Dennysiregar7 bang denny aja sering dilaporin ke polisi aman kan? gk kaget lah,bang denny sering dilaporin polisi aman kan gak kaget lah
Pas liat polisi yang ini kaget dikit soalnya mirip dul anaknya ahmad dhani https://t.co/peqLrW3sOP,pas liat polisi kaget dikit soal mirip dul anak ahmad dhani
Karina aespa Buat Kaget Fotografer Milan Fashion Week sampai Mau Panggil Polisi Netizen: Padahal Baru... gaeul.rdz https://t.co/bNZtuXadqh,karina aespa buat kaget fotografer mil fashion week mau panggil polisi netizen padahal baru gaeul rdz
Karina aespa Buat Kaget Fotografer Milan Fashion Week sampai Mau Panggil Polisi Netizen: Padahal Baru... #Karina #aespa https://t.co/YCNPVW77AP,karina aespa buat kaget fotografer mil fashion week mau panggil polisi netizen padahal baru
kayanya staff sampe bodyguard segala macamnya itu ga berekspetasi kalo audiencenya sebanyak itu keliatan bgt pada kaget sampe akhirnya mau manggil polisi. KARINA MILAN FW24 #KARINAxPradaFW24 #KARINA #PradaFW24 @Prada,kaya staff sampe bodyguard segala macam gak berekspetasi kalo audiencenya banyak liat banget kaget sampe akhir mau manggil polisi karina mil fw
Keluarga Kaget AWK Pengancam Tembak Anies di Medsos Diciduk Polisi https://t.co/5PTByrffwp,keluarga kaget awk ancam tembak anies medsos ciduk polisi
@BosPurwa Kasihan org tuanya tiba anaknya diciduk polisi apa ya ga kaget belum lagi ternyata anaknya bikin ancaman ke orang lain di sosmed.,kasihan org tua tiba anak ciduk polisi apa gak kaget belum nyata anak bikin ancam orang sosmed
Arjun Wijaya Kusumo ditangkap polisi setelah menebar ancaman tembak Anies Baswedan di TikTok. Keluarga kaget dengar Arjun ditangkap. Gwa juga gak suka yo wedan tapi gwa juga gak mau ditangkap jadi hanya berani komen ajah cuk https://t.co/gfZb7t2JDE,arjun wijaya sumo tangkap polisi tebar ancam tembak anies baswedan tiktok keluarga kaget dengar arjun tangkap gwa gak suka yo wedan gwa gak mau tangkap jadi berani komen ajah cuk
@tempodotco Ga heran sih dan ga kaget di dom ku aja polisi diperintahkan pilih si anu itu,gak heran sih gak kaget dom ku polisi perintah pilih si
@kompascom Gak masalah @DivHumas_Polri mau JD timses 02 juga biasa ajah gak kaget dan gak masalah. Toh Polisi itu hanya sebatas profesia biasa gada bedanya dgn profesi kang cukur kang kebun kuli direktur marketing dokter perawat. Sama saja @DivHumas_Polri itu HANYA SEBATAS PROFESI,gak masalah mau jd timses biasa ajah gak kaget gak masalah polisi batas profesia biasa gada beda dgn profesi kang cukur kang kebun kuli direktur marketing dokter awat sama batas profesi
Dijalanan seluas dan selenggang ini kaget banget tiba-tiba ada mobil polisi dibelakang. Kirain lagi ngejar mobil kita ternyata lagi ngawal. Pas gw tanya itu lagi ngawal mobilnya anak kepala kepolisian. Dan katanya emang tiap hari selalu dikawal lewat sini.,jalan luas lenggang kaget banget tiba tiba mobil polisi belakang kirain ngejar mobil nyata ngawal pas gw tanya ngawal mobil anak kepala polisi kata emang tiap hari selalu kawal lewat sini
Aku juga kesel sama bocil-bocil yang naik motor listrik. Di sekitar perumahan ku ada sewa sepeda listrik pas para bocil lewat depan rumah ku berisik bgt jancok bikin kaget. (Kebetulan depan rumah ku ada polisi tidur tuh bocil sengaja ngedubrakin tuh motor ),aku kesel sama bocil bocil naik motor listrik rumah ku sewa sepeda listrik pas bocil lewat depan rumah ku berisik banget jancok bikin kaget betul depan rumah ku polisi tidur tuh bocil sengaja ngedubrakin tuh motor
 Hyang panggilnya. Tolong jangan kaget kabur lalu pergi ke kantor polisi. Tapi namaku ada di daftar pencarian semacam orang-orang suruhan. Dari organisasi gelap yang operasinya di bawah meja. Di balik kata-kata yang terurai Ilsa menolak lepaskan tangan Hyang.,hyang panggil jangan kaget kabur lalu pergi kantor polisi nama daftar cari macam orang orang suruh organisasi gelap operasi bawah meja balik kata kata urai ilsa tolak lepas tangan hyang
Polisi Lampung Dipecat Usai Curi Motor Kawasaki KLX Milik Temannya Sesama Polisi Alasannya Mencuri Bikin Kaget https://t.co/oqAM0TGDH1,polisi lampung pecat usai curi motor kawasaki klx milik teman sama polisi alas curi bikin kaget
@ino_wilmac @kegblgnunfaedh Kalo kakakny liat video penangkapanny wajar dia takut mungkin dia kaget trus ngerasa ngga salah tapi perlakuan polisi nya gitu banget kalo dari video ny bisa juga dia trauma karena dulu kan ya pernah dipenjara,kalo kakakny liat video penangkapanny wajar takut mungkin kaget terus ngerasa ngga salah laku polisi nya gitu banget kalo video ny trauma dulu kan pernah penjara
ada polisi tidur baru di depan tw 2 nanti pas masuk kuliah jangan kaget kalo 10nop udah punya 1000 polisi tidur ️️️ https://t.co/jVe61QFe8J,polisi tidur baru depan tw pas masuk kuliah jangan kaget kalo nop udah punya polisi tidur
Kalo polisi biasanya kelihatan yg agak horor itu bapak2 biasa yg nyebrangin/arah2 in yg biasanya bajunya item/gelap yg cuma sedia sempritan kaget banget tbtb dia nongol dan ga kelihatan soale biasane ketutup mobil aku sampe batin aduh untung aee ga kesenggol -_- lak berabe akuu,kalo polisi biasa lihat horor bapak biasa nyebrangin arah in biasa baju item gelap cuma sedia semprit kaget banget tbtb nongol gak lihat soale biasane tutup mobil aku sampe batin aduh untung aee gak senggol lak berabe akuu
gue mimpi abis gebukin maling depan polisi pas bangun kaget bgt krn ngira ini kenyataan,gue mimpi abis gebukin maling depan polisi pas bangun kaget banget ngira nyata
@kegblgnunfaedh Dari dulu kan emang mentalnya perampok sama preman udah ga kaget. Ngerasa sok paling keras wkwkw ketemu polisi juga diem babi!,dulu kan emang mental rampok sama preman udah gak kaget ngerasa sok paling keras wkwkw ketemu polisi diem babi
@4micus aku balik skul maghrib kan fay terus karena buru² aku taruh hp di dashboard motor pas ada polisi tidur tuh hp aku loncat anjrit aku kaget bgt kirain apa taunya hp aku pas mau ambil udah kelindes karena itu aku lagi nyalip truk kan trs orang² disitu kompak bilang 'yahhh' ,aku balik skul maghrib kan fay terus buru aku taruh hp dashboard motor pas polisi tidur tuh hp aku loncat anjrit aku kaget banget kirain apa tau hp aku pas mau ambil udah kelindes aku nyalip truk kan terus orang situ kompak bilang yahhh
@Bambangmulyonoo Yah gak kaget islah kan binaan polisi,yah gak kaget islah kan bina polisi
@recehtapisayng Pengalaman pribadi waktu kunjungan di kantir polisi kaget banget di sna ternyata ada yg namanya jual kamar alias tahan bayar sewa kamar dan ada kelas dan fasilitas nya ,alam pribadi waktu kunjung kantir polisi kaget banget sna nyata nama jual kamar alias tahan bayar sewa kamar kelas fasilitas nya
