id_process,text,emotion,preprocessed_result
281,Terima kasih pak polisi hadapi dengan senyuman setiap melaksanakan tugas,joy,terima kasih polisi hadap senyum laksana tugas
282,Terima kasih pak polisi sudah mengungkap kebenaran ,joy,terima kasih polisi ungkap benar
283,Terima kasih polisi dan Relawan telah bekerja semaksimal mungkin,joy,terima kasih polisi relawan maksimal
284,TERIMA KASIH BAPAK POLISI SUDAH MENEGAKKAN KEADILAN ,joy,terima kasih polisi tegak adil
285,Terima kasih atas bantuannya Pak polisi,joy,terima kasih bantu polisi
286,Terima kasih Pak Polisi dan Bu Polisi yang standby setiap malam,joy,terima kasih polisi bu polisi standby malam
287,terima kasih pak polisi sudah turut membantu evakuasi,joy,terima kasih polisi bantu evakuasi
288,Terima kasih atas dedikasi dan kontribusimu pak polisi,joy,terima kasih dedikasi kontribusi polisi
289,terima kasih pak polisi yang selalu Siaga membantu masyarakat mari kita Bersama Saling Waspada,joy,terima kasih polisi siaga bantu masyarakat mari waspada
290,Terima kasih kepada para polisi yang sudah membantu warga,joy,terima kasih polisi bantu warga
291,Terima kasih kepada polisi yang selalu berjuang untuk menjaga keamanan kita semua,joy,terima kasih polisi juang jaga aman
292,Terima kasih kepada polisi yang bekerja keras dalam menjaga perbatasan laut kita,joy,terima kasih polisi keras jaga batas laut
293,Terima kasih Bapak polisi atas himbauan yang sangat bagus ini.,joy,terima kasih polisi himbau bagus
294,Terima kasih kepada polisi yang telah bekerja keras untuk menyelesaikan kasus ini,joy,terima kasih polisi keras selesai
295,Terima kasih Bapak polisi sudah bertindak tegas,joy,terima kasih polisi tindak
296,"Semakin profesional, semakin dihormati!",netral,profesional hormat
297,"Jangan hanya penindakan, polisi juga harus mendidik masyarakat!",netral,jangan tindak polisi didik masyarakat
298,"Makin baik pelayanan, makin tinggi kepercayaan masyarakat.",netral,layan percaya masyarakat
299,Penting buat polisi untuk menjaga netralitas dalam bertugas!,netral,polisi jaga netralitas tugas
300,Penegakan hukum yang adil akan bikin masyarakat lebih percaya sama polisi.,netral,tegak hukum adil bikin masyarakat percaya polisi
301,Semoga polisi selalu mengutamakan keadilan dalam setiap tindakan.,netral,moga polisi utama adil tindak
302,"Polisi adalah pelindung rakyat, bukan sebaliknya.",netral,polisi lindung rakyat bukan
303,Kinerja polisi menentukan rasa aman masyarakat.,netral,kinerja polisi tentu aman masyarakat
304,Polisi memiliki tugas utama menegakkan hukum dan menjaga ketertiban,netral,polisi milik tugas utama tegak hukum jaga tertib
305,akhirnya motor saya balik terima kasih pak polisi,joy,motor terima kasih polisi
306,Salut Polisi Tolong Sopir Truk Kontainer yang Pingsan,joy,salut polisi tolong sopir truk kontainer pingsan
307,akhirnya kena juga Terima Kasih Pak Polisi.,joy,kena terima kasih polisi
308,Terima kasih pak polisi selalu hadir melayani,joy,terima kasih polisi hadir layan
309,terima kasih polisi yang Selalu Hadir Melayani dan dengan Pengabdian Sepenuh Hati,joy,terima kasih polisi hadir layan abdi penuh hati
310,Terima kasih kepada polisi yang bekerja keras untuk mengungkap kasus ini,joy,terima kasih polisi keras ungkap
311,terima kasih polisi selalu Bersama Cegah Kejahatan semoga untuk kedepannya kejahatan yang lain bisa terungkap,joy,terima kasih polisi cegah jahat moga depan jahat ungkap
312,terima kasih polisi selalu Cegah Kejahatan,joy,terima kasih polisi cegah jahat
313,Kinerja kepolisian bikin aku sedih banget,sadness,kinerja polisi bikin sedih banget
314,Aku merasa sangat sedih melihat cara kerja kepolisian.,sadness,sedih kerja polisi
315,Kepolisian bekerja dengan cara yang bikin aku benar-benar sedih.,sadness,polisi bikin sedih
316,"Aku nggak habis pikir dengan kinerja kepolisian, rasanya sedih banget.",sadness,tidak habis pikir kinerja polisi sedih banget
317,Saya sangat kecewa dengan kinerja kepolisian dan berharap ada perbaikan.,sadness,kecewa kinerja polisi harap baik
318,Kinerja kepolisian saat ini kurang memuaskan dan perlu evaluasi.,sadness,kinerja polisi puas evaluasi
319,Penegakan hukum seharusnya dilakukan dengan lebih adil dan transparan.,trust,tegak hukum adil transparan
320,Saya berharap kepolisian bisa lebih profesional dalam menjalankan tugasnya.,trust,harap polisi profesional jalan tugas
321,Kepercayaan masyarakat pada kepolisian harus dijaga dengan tindakan nyata.,trust,percaya masyarakat polisi jaga tindak nyata
322,Saya sangat geram dengan kinerja kepolisian yang semakin mengecewakan.,anger,geram kinerja polisi kecewa
323,Bagaimana mungkin kepolisian terus bekerja dengan cara yang semrawut seperti ini,anger,polisi semrawut
324,Kinerja kepolisian benar-benar membuat saya frustrasi! Seharusnya mereka lebih bertanggung jawab.,anger,kinerja polisi frustrasi tanggung
325,Saya muak melihat bagaimana kepolisian menegakkan hukum dengan standar ganda.,anger,muak polisi tegak hukum standar ganda
326,"Sebagai aparat penegak hukum, kepolisian seharusnya malu dengan cara mereka bekerja saat ini.",anger,aparat tegak hukum polisi malu
327,Saya benar-benar kecewa dengan bagaimana kepolisian menangani masalah ini.,sadness,kecewa polisi tangan
328,Keputusan yang diambil kepolisian sungguh mengecewakan dan tidak mencerminkan keadilan.,sadness,putus ambil polisi sungguh kecewa tidak cermin adil
329,Sulit dipercaya bahwa kepolisian masih bekerja dengan cara yang begitu tidak profesional.,sadness,sulit percaya polisi tidak profesional
330,"Sebagai masyarakat, kami merasa dikhianati oleh kepolisian yang seharusnya melindungi, bukan merugikan.",sadness,masyarakat khianat polisi lindung bukan rugi
331,Harus sampai kapan kepolisian terus mengabaikan keadilan dan kepentingan masyarakat,anger,polisi abai adil penting masyarakat
332,"Saya sedih melihat kepolisian yang seharusnya melindungi rakyat, tapi malah mengecewakan.",sadness,sedih polisi lindung rakyat kecewa
333,Miris rasanya melihat hukum tidak ditegakkan dengan adil oleh kepolisian.,sadness,miris hukum tidak tegak adil polisi
334,"Seharusnya kepolisian menjadi pelindung, bukan sumber ketidakadilan.",sadness,polisi lindung bukan sumber ketidakadilan
335,Saya kehilangan harapan melihat banyak kasus yang tidak ditangani dengan serius.,sadness,hilang harap tidak tangan serius
336,Kepolisian yang seharusnya menjadi harapan rakyat kini justru sering mengecewakan.,sadness,polisi harap rakyat kecewa
337,Sungguh menyedihkan ketika rakyat takut melapor karena tidak percaya pada kepolisian.,sadness,sungguh sedih rakyat takut lapor tidak percaya polisi
338,"Setiap kali ada kasus yang dibiarkan begitu saja, saya semakin kecewa.",sadness,kali biar kecewa
339,Rasanya menyakitkan melihat oknum kepolisian yang menyalahgunakan wewenang.,sadness,sakit oknum polisi salah guna wenang
340,Kenapa keadilan terasa begitu jauh ketika berurusan dengan kepolisian,sadness,adil urus polisi
341,Saya hanya bisa berharap suatu hari kepolisian benar-benar berpihak pada rakyat.,trust,harap polisi pihak rakyat
342,Saya takut melapor ke polisi karena khawatir tidak mendapatkan keadilan.,fear,takut lapor polisi khawatir tidak adil
343,Sering kali saya merasa lebih aman diam daripada berurusan dengan kepolisian.,fear,kali aman diam urus polisi
344,Bagaimana bisa kita merasa terlindungi jika polisi sendiri menimbulkan ketakutan?,fear,lindung polisi timbul takut
345,"Saya khawatir jika berbicara terlalu keras, justru saya yang akan disalahkan.",fear,khawatir bicara keras salah
346,"Melihat kasus-kasus yang tidak ditangani dengan benar, saya jadi takut akan masa depan hukum di negara ini.",fear,tidak tangan takut hukum negara
347,Kadang saya takut bahwa hukum hanya berpihak pada mereka yang punya kuasa.,fear,kadang takut hukum pihak kuasa
348,Banyak yang takut melawan ketidakadilan karena polisi justru membela yang salah.,fear,takut lawan tidakadil polisi bela salah
349,"Rasanya menegangkan setiap kali melihat ada razia, meskipun tidak melakukan kesalahan.",fear,tegang kali razia tidak salah
350,"Keamanan seharusnya datang dari kepolisian, bukan justru rasa cemas.",fear,aman polisi bukan cemas
351,"Saya takut jika suatu hari saya membutuhkan bantuan polisi, tapi mereka tidak peduli.",fear,takut butuh bantu polisi tidak peduli
352,Saya masih percaya bahwa kepolisian bisa berubah menjadi lebih baik.,trust,percaya polisi ubah
353,"Meskipun banyak kritik, saya yakin masih ada polisi yang benar-benar jujur.",trust,kritik polisi jujur
354,"Kepercayaan masyarakat harus dijaga, dan saya berharap kepolisian terus berbenah.",trust,percaya masyarakat jaga harap polisi benah
355,Saya percaya bahwa masih ada polisi yang bekerja dengan hati nurani.,trust,percaya polisi hati nurani
356,"Banyak polisi baik di luar sana, mereka hanya perlu didukung dan diperlihatkan.",trust,polisi dukung
357,Kejujuran dan integritas masih bisa ditegakkan jika ada niat dari dalam kepolisian sendiri.,trust,jujur integritas tegak niat polisi
358,Saya yakin kepolisian bisa membuktikan bahwa mereka adalah penjaga keadilan.,trust,polisi bukti jaga adil
359,"Sebagian polisi masih bekerja dengan baik, dan mereka yang jujur harus didukung.",trust,polisi jujur dukung
360,Saya percaya hukum bisa berjalan dengan adil jika kepolisian benar-benar berkomitmen.,trust,percaya hukum jalan adil polisi komitmen
361,"Selama masih ada polisi yang peduli dengan keadilan, masih ada harapan untuk negeri ini.",trust,polisi peduli adil harap negeri
362,saya semakin kecewa dengan kinerja kalian pak,sadness,kecewa kinerja
363,"Saya takut melapor ke polisi, takut malah dipersulit.",fear,takut lapor polisi takut sulit
364,Berurusan dengan polisi sering kali bikin cemas.,fear,urus polisi kali bikin cemas
365,Takut kalau keadilan hanya milik yang berkuasa.,fear,takut adil milik kuasa
366,"Melapor ke polisi, tapi takut malah jadi tersangka.",fear,lapor polisi takut sangka
367,Melihat razia polisi saja sudah bikin deg-degan.,fear,razia polisi bikin deg degan
368,Saya takut polisi lebih membela yang punya uang.,fear,takut polisi bela uang
369,Kadang lebih aman diam daripada berurusan dengan polisi.,fear,kadang aman diam urus polisi
370,Saya takut hukum tidak akan melindungi rakyat kecil.,fear,takut hukum tidak lindung rakyat
371,Sering kali rakyat takut bersuara karena polisi.,fear,kali rakyat takut suara polisi
372,Saya takut polisi lebih berpihak pada kepentingan sendiri.,fear,takut polisi pihak penting
373,Takut kalau polisi tidak benar-benar menegakkan hukum.,fear,takut polisi tidak tegak hukum
374,Bagaimana bisa merasa aman kalau polisi pun tak bisa dipercaya?,fear,aman polisi percaya
375,Saya takut keadilan bisa dibeli dengan uang.,fear,takut adil beli uang
376,"Polisi seharusnya melindungi, tapi kenapa malah bikin takut?",fear,polisi lindung bikin takut
377,Takut kalau polisi justru menyalahgunakan kekuasaannya.,fear,takut polisi salah guna kuasa
378,"Berharap polisi adil, tapi takut itu hanya mimpi.",fear,harap polisi adil takut mimpi
379,Saya takut suatu hari polisi benar-benar kehilangan kepercayaan rakyat.,fear,takut polisi hilang percaya rakyat
380,Takut melapor karena tidak yakin akan ada tindakan yang adil.,fear,takut lapor tidak tindak adil
381,Hukum terasa menakutkan ketika tidak ditegakkan dengan benar.,fear,hukum takut tidak tegak
382,Kadang lebih takut sama polisi daripada sama penjahat.,fear,kadang takut polisi jahat
383,Saya takut melapor ke polisi karena sering kali korban justru tidak mendapatkan perlindungan yang layak.,fear,takut lapor polisi kali korban tidak lindung layak
384,"Setiap kali ada razia atau patroli, saya merasa cemas, meskipun saya tidak melakukan kesalahan.",fear,kali razia patroli cemas tidak salah
385,Banyak orang ragu untuk meminta bantuan polisi karena takut dipersulit atau tidak dianggap serius.,fear,orang ragu bantu polisi takut sulit tidak anggap serius
386,Saya merasa takut jika suatu saat berhadapan dengan polisi yang tidak profesional dan menyalahgunakan wewenangnya.,fear,takut hadap polisi tidak profesional salah guna wenang
387,"Menegakkan keadilan seharusnya tidak membuat rakyat takut, tetapi sayangnya, banyak yang justru merasa sebaliknya.",fear,tegak adil tidak rakyat takut sayang
388,"Saya takut berbicara terlalu kritis tentang kepolisian, karena bisa saja saya yang malah mendapat masalah.",fear,takut bicara kritis polisi
389,Bagaimana bisa kita merasa aman jika aparat yang seharusnya melindungi justru sering bertindak semena-mena?,fear,aman aparat lindung tindak semena pena
390,"Saya selalu khawatir jika harus berurusan dengan kepolisian, karena hasil akhirnya sering kali tidak bisa ditebak.",fear,khawatir urus polisi hasil kali tidak tebak
391,"Takut rasanya melihat berita tentang orang-orang yang mencari keadilan, tetapi justru mendapat tekanan dari aparat.",fear,takut berita orang cari adil tekan aparat
392,Saya takut jika suatu hari menjadi korban ketidakadilan dan tidak ada polisi yang benar-benar peduli.,fear,takut korban tidakadil tidak polisi peduli
393,"Kadang saya lebih memilih diam daripada melapor ke polisi, karena takut malah dipersulit atau dicurigai.",fear,kadang pilih diam lapor polisi takut sulit curiga
394,Sulit mempercayai kepolisian sepenuhnya ketika masih ada kasus di mana mereka tidak bertindak sesuai hukum.,sadness,sulit percaya polisi penuh tidak tindak suai hukum
395,"Saya takut jika suatu saat saya mengalami masalah hukum, bukan karena saya salah, tetapi karena sistem yang tidak berpihak pada rakyat kecil.",fear,takut alam hukum bukan salah sistem tidak pihak rakyat
396,"Setiap kali ada demonstrasi atau protes, saya takut polisi akan bertindak berlebihan tanpa mempertimbangkan hak rakyat.",fear,kali demonstrasi protes takut polisi tindak tanpa timbang hak rakyat
397,"Melihat bagaimana beberapa kasus ditangani dengan tidak adil, saya jadi takut dengan masa depan hukum di negeri ini.",fear,tangan tidak adil takut hukum negeri
398,"Saya merasa cemas melihat oknum kepolisian yang bertindak sewenang-wenang, tanpa ada sanksi yang benar-benar tegas.",fear,cemas oknum polisi tindak wenang wenang tanpa sanksi
399,"Saya takut dengan kenyataan bahwa keadilan bisa saja dibeli, dan kepolisian tidak selalu berpihak pada yang benar.",fear,takut nyata adil beli polisi tidak pihak
400,Bagaimana bisa rakyat merasa aman jika yang seharusnya melindungi justru sering bertindak kasar?,fear,rakyat aman lindung tindak kasar
401,Takut rasanya jika di masa depan polisi tidak lagi bisa dipercaya sebagai penjaga keadilan.,fear,takut polisi tidak percaya jaga adil
402,Saya khawatir suatu hari polisi justru lebih melindungi kepentingan mereka sendiri daripada masyarakat yang mereka layani.,fear,khawatir polisi lindung penting masyarakat layan
403,Saya percaya masih ada polisi yang jujur.,trust,percaya polisi jujur
404,Kepercayaan rakyat harus dijaga oleh kepolisian.,trust,percaya rakyat jaga polisi
405,Polisi yang adil akan selalu didukung masyarakat.,trust,polisi adil dukung masyarakat
406,Saya yakin kepolisian bisa berbenah menjadi lebih baik.,trust,polisi benah
407,Keadilan bisa terwujud jika polisi bekerja dengan hati.,trust,adil wujud polisi hati
408,Saya percaya polisi yang baik masih ada dan bekerja keras.,trust,percaya polisi keras
409,Profesionalisme polisi adalah kunci kepercayaan rakyat.,netral,profesionalisme polisi kunci percaya rakyat
410,Saya yakin ada polisi yang benar-benar peduli pada rakyat.,trust,polisi peduli rakyat
411,Kepolisian yang bersih akan selalu mendapat dukungan penuh.,trust,polisi bersih dukung penuh
412,Saya percaya polisi bisa menegakkan hukum dengan adil.,trust,percaya polisi tegak hukum adil
413,Integritas polisi menentukan masa depan hukum di negeri ini.,netral,integritas polisi tentu hukum negeri
414,Kejujuran polisi adalah harapan bagi masyarakat.,trust,jujur polisi harap masyarakat
415,Saya percaya hukum bisa ditegakkan jika polisi bekerja dengan tulus.,trust,percaya hukum tegak polisi tulus
416,"Selama polisi menjunjung kebenaran, rakyat akan mendukungnya.",trust,polisi junjung benar rakyat dukung
417,Polisi yang bekerja dengan hati akan selalu dipercaya.,trust,polisi hati percaya
418,Saya yakin masih ada polisi yang berjuang demi keadilan.,trust,polisi juang adil
419,Kepercayaan masyarakat adalah aset terbesar kepolisian.,netral,percaya masyarakat aset besar polisi
420,Saya percaya polisi bisa menjadi contoh dalam penegakan hukum.,trust,percaya polisi contoh tegak hukum
421,Polisi yang amanah akan selalu mendapat tempat di hati rakyat.,trust,polisi amanah hati rakyat
422,Saya yakin perubahan positif di kepolisian bisa terjadi.,trust,ubah positif polisi
423,"Masih percaya ada polisi yang jujur, semangat buat kalian yang bener-bener kerja!",trust,percaya polisi jujur semangat benar kerja
424,"Walaupun banyak kritik, gue yakin masih ada polisi yang tulus buat rakyat.",trust,kritik gue polisi tulus rakyat
425,Semoga polisi yang baik tetap kuat dan nggak kebawa arus negatif.,trust,moga polisi kuat tidak bawa arus negatif
426,"Gue percaya kalau polisi kerja bener, pasti dihargai masyarakat.",trust,gue percaya polisi kerja benar harga masyarakat
427,"Nggak semua polisi buruk, masih ada kok yang beneran adil.",trust,tidak polisi buruk benar adil
428,"Polisi yang jujur dan amanah itu keren banget, semoga makin banyak yang kayak gitu.",trust,polisi jujur amanah keren banget moga kayak gitu
429,Salut buat polisi yang bener-bener bekerja buat keadilan!,trust,salut polisi benar adil
430,"Percaya deh, kalau polisi transparan, rakyat pasti lebih respek.",trust,percaya deh polisi transparan rakyat respek
431,"Gue yakin ada polisi yang masih pegang integritas tinggi, semangat!",trust,gue polisi pegang integritas semangat
432,"Kalau polisi kerja dengan hati, pasti kepercayaan masyarakat balik lagi.",trust,polisi kerja hati percaya masyarakat
433,"Mau gimana pun, kita tetep butuh polisi yang jujur dan tegas.",trust,gimana tetap butuh polisi jujur
434,"Hormat buat polisi yang kerja bener, bukan cuma gaya doang.",trust,hormat polisi kerja benar bukan gaya doang
435,"Polisi yang profesional itu aset negara, semoga makin banyak yang kaya gini.",trust,polisi profesional aset negara moga kaya begini
436,"Percaya sama polisi yang jujur, tapi kalau ada yang salah, tetep harus dikritik.",trust,percaya polisi jujur salah tetap kritik
437,"Gue yakin masih ada polisi yang mau berjuang buat rakyat, bukan buat kepentingan sendiri.",trust,gue polisi juang rakyat bukan penting
438,Kepolisian bekerja sesuai dengan prosedur dan peraturan yang berlaku.,netral,polisi suai prosedur atur laku
439,Setiap laporan masyarakat akan diproses sesuai dengan ketentuan hukum.,netral,lapor masyarakat proses suai tentu hukum
440,"Petugas kepolisian menjalankan tugasnya di berbagai bidang, termasuk lalu lintas dan kriminalitas.",netral,tugas polisi jalan tugas bidang lintas kriminalitas
441,Kepolisian memiliki wewenang untuk melakukan penyelidikan terhadap suatu kasus.,netral,polisi milik wenang selidik
442,Setiap anggota kepolisian harus mengikuti pelatihan sebelum bertugas.,netral,anggota polisi ikut latih tugas
443,Masyarakat dapat mengajukan pengaduan jika mengalami masalah terkait hukum.,netral,masyarakat aju adu alam kait hukum
444,Kepolisian memiliki berbagai unit yang menangani kasus berbeda.,netral,polisi milik unit tangan beda
445,Setiap tindakan kepolisian harus sesuai dengan undang-undang yang berlaku.,netral,tindak polisi suai undang laku
446,"Gue yakin masih ada polisi baik, tapi sayangnya mereka kalah suara.",trust,gue polisi sayang kalah suara
447,Polisi melakukan patroli rutin untuk menjaga keamanan di wilayah tertentu.,trust,polisi patroli rutin jaga aman wilayah
448,"Kalau semua polisi tegas dan jujur, rakyat nggak bakal ragu buat percaya.",trust,polisi jujur rakyat tidak ragu percaya
449,"Gue masih percaya sama polisi, tapi buktiin dulu kalau emang serius jaga keadilan.",trust,gue percaya polisi bukti emang serius jaga adil
450,"Kepercayaan rakyat itu mahal, nggak bisa didapet kalau kerja masih setengah hati.",trust,percaya rakyat mahal tidak dapat kerja hati
451,"Gue percaya sama polisi yang profesional, bukan yang kerja buat kepentingan pribadi.",trust,gue percaya polisi profesional bukan kerja penting pribadi
452,"Jujur aja, polisi yang baik itu banyak, tapi yang buruk lebih sering disorot.",trust,jujur aja polisi buruk sorot
453,"Semangat buat polisi yang kerja dengan jujur, semoga makin banyak yang kayak gini!",trust,semangat polisi kerja jujur moga kayak begini
454,Polisi yang amanah dan adil pasti selalu dihormati rakyat.,trust,polisi amanah adil hormat rakyat
455,Gue percaya polisi bisa lebih baik kalau semua berani lawan korupsi di dalamnya.,trust,gue percaya polisi berani lawan korupsi dalam
456,"Nggak semua polisi buruk, yang bener-bener kerja buat rakyat harus diapresiasi.",trust,tidak polisi buruk benar kerja rakyat apresiasi
457,Semoga polisi terus berbenah biar makin dipercaya masyarakat.,trust,moga polisi benah biar percaya masyarakat
458,Salut buat polisi yang tetap jujur dan berani menegakkan hukum dengan adil!,trust,salut polisi jujur berani tegak hukum adil
459,"Kalau polisi transparan dan profesional, kepercayaan masyarakat pasti meningkat.",trust,polisi transparan profesional percaya masyarakat tingkat
460,"Percaya sama polisi yang kerja dengan hati, semoga ke depan makin banyak yang seperti itu.",trust,percaya polisi kerja hati moga
461,Hukum bisa lebih baik kalau polisi benar-benar menjalankan tugasnya dengan integritas.,trust,hukum polisi jalan tugas integritas
462,"Tetap percaya sama polisi yang jujur, semoga ke depan makin banyak perubahan positif.",trust,percaya polisi jujur moga ubah positif
463,"Rakyat butuh kepastian hukum, bukan cuma janji manis yang ujung-ujungnya zonk!",anger,rakyat butuh pasti hukum bukan janji manis ujung ujung zonk
464,"Gimana rakyat mau percaya kalau yang salah malah dilindungi, tapi yang benar ditekan?",anger,gimana rakyat percaya salah lindung ditekan
465,"Tugas utama polisi itu melindungi rakyat, bukan malah menindas dan mempersulit!",anger,tugas utama polisi lindung rakyat bukan tindas sulit
466,Setiap kasus yang dilaporkan akan diproses sesuai dengan prosedur yang ada.,netral,lapor proses suai prosedur
467,Kepolisian bekerja sama dengan lembaga lain dalam menegakkan hukum.,netral,polisi lembaga tegak hukum
468,Polisi bertugas mengatur lalu lintas demi kelancaran transportasi.,netral,polisi tugas atur lintas lancar transportasi
469,Kepolisian memiliki sistem pelaporan online untuk memudahkan masyarakat.,netral,polisi milik sistem lapor online mudah masyarakat
470,Setiap daerah memiliki kantor kepolisian yang berfungsi melayani masyarakat.,netral,daerah milik kantor polisi fungsi layan masyarakat
471,Anggota kepolisian dapat dipindahtugaskan ke daerah lain sesuai kebijakan.,netral,anggota polisi dipindahtugaskan daerah suai bijak
472,Penyidikan suatu kasus memerlukan waktu sesuai dengan tingkat kompleksitasnya.,netral,sidik suai tingkat kompleksitas
473,Polisi memiliki kewenangan untuk menindak pelanggaran lalu lintas.,netral,polisi milik wenang tindak langgar lintas
474,Masyarakat dapat mengakses informasi tentang kinerja kepolisian melalui laporan tahunan.,netral,masyarakat akses informasi kinerja polisi lapor tahun
475,Kepolisian menggunakan teknologi untuk mendukung proses investigasi.,netral,polisi teknologi dukung proses investigasi
476,"Kinerja buruk tapi tiap tahun minta naik gaji, apa yang dinaikin kalau kerja aja nggak becus?",anger,kinerja buruk gaji naik kerja aja tidak becus
477,"Giliran demo rakyat langsung ditindak, tapi koruptor malah dikawal dengan santai!",anger,gilir demo rakyat langsung tindak koruptor kawal santai
478,"Katanya penegak hukum, tapi malah jadi bagian dari kejahatan! Gimana rakyat mau percaya?",anger,tegak hukum jahat gimana rakyat percaya
479,"Polisi tugasnya bukan cuma tilang di jalan, coba lihat kejahatan yang lebih besar di depan mata kalian!",anger,polisi tugas bukan tilang jalan coba lihat jahat mata
480,"Jangan cuma pamer prestasi di media, kalau di lapangan masih banyak kasus yang kalian abaikan!",anger,jangan pamer prestasi media lapang abai
481,"Kalian dikasih wewenang untuk melindungi rakyat, bukan buat nyari keuntungan pribadi!",anger,kasih wenang lindung rakyat bukan sari untung pribadi
482,"Susah banget cari polisi yang benar-benar kerja buat rakyat, yang ada malah sibuk cari aman sendiri!",anger,susah banget cari polisi kerja rakyat sibuk cari aman
483,Hukum cuma buat yang miskin! Yang kaya mah bebas seenaknya!,anger,hukum miskin kaya mah bebas
484,"Polisi tugasnya bikin aman, bukan malah bikin rakyat takut!",anger,polisi tugas bikin aman bukan bikin rakyat takut
485,"Lama-lama semua disebut oknum, terus mana yang bener?",anger,oknum benar
486,"Kalau hukum bisa dibeli, rakyat kecil tinggal pasrah aja?!",anger,hukum beli rakyat tinggal pasrah aja
487,Nggak usah sok berwibawa kalau masih pilih kasih dalam menindak!,anger,tidak sok wibawa pilih kasih tindak
488,"Kasus viral baru gercep! Kalau nggak, pasti diabaikan!",anger,viral gercep tidak abai
489,"Ngurus SIM aja ribet, isinya pungli semua!",anger,urus sim aja ribat isi pungli
490,"Keamanan cuma buat yang bayar, rakyat biasa cuma dapat janji palsu!",anger,aman bayar rakyat janji palsu
491,"Bukti udah di depan mata, tapi masih alasan 'proses penyelidikan'!",anger,bukti udah mata alas proses selidik
492,"Jangan salahkan masyarakat nggak percaya, liat sendiri kinerja kalian!",anger,jangan salah masyarakat tidak percaya liat kinerja
493,"Kalau rakyat protes dibilang nggak menghormati hukum, lah kalian gimana?",anger,rakyat protes bilang tidak hormat hukum gimana
494,"Pakai seragam doang, tapi kelakuan kaya preman jalanan!",anger,pakai ragam doang laku kaya preman jalan
495,Polisi kerja buat siapa sih? Kok yang jelas-jelas salah malah dilindungi?,anger,polisi kerja sih salah lindung
496,"Jangan cuma pencitraan, buktikan kalau bener-bener kerja!",anger,jangan citra bukti benar kerja
497,"Jangan cuma tegas di jalanan, tapi di ruang sidang malah melempem!",anger,jangan jalan ruang sidang lempem
498,"Dikit-dikit 'damai aja', hukum negara kok jadi kayak tawar-menawar?!",anger,dikit damai aja hukum negara kayak tawar tawar
499,Lapor hilang motor malah ditanya 'udah ikhlasin aja'?! SERIUS?,anger,lapor hilang motor udah ikhlas aja serius
500,"Kalau nggak ada kamera dan sosial media, semua kasus pasti tenggelam!",anger,tidak kamera sosial media tenggelam
501,"Gaji dari pajak rakyat, tapi malah ngehancurin kepercayaan rakyat!",anger,gaji pajak rakyat hancur percaya rakyat
502,Kepolisian adalah lembaga yang bertugas menjaga ketertiban dan keamanan.,netral,polisi lembaga tugas jaga tertib aman
503,Setiap laporan yang masuk akan diproses sesuai prosedur yang berlaku.,netral,lapor masuk proses suai prosedur laku
504,Polisi memiliki berbagai unit dengan tugas yang berbeda-beda.,netral,polisi milik unit tugas beda beda
505,Hukum ditegakkan berdasarkan peraturan yang telah ditetapkan.,netral,hukum tegak dasar atur tetap
506,Polisi memiliki kewenangan untuk melakukan penyelidikan dan pemeriksaan.,netral,polisi milik wenang selidik periksa
507,Kepolisian bekerja dalam koordinasi dengan berbagai instansi terkait.,netral,polisi koordinasi instansi kait
508,Pengawasan terhadap kinerja kepolisian dilakukan oleh lembaga yang berwenang.,netral,awas kinerja polisi lembaga wenang
509,Setiap kasus yang ditangani akan melalui proses investigasi sesuai aturan.,netral,tangan proses investigasi suai atur
510,Kepolisian memiliki peran dalam pengamanan kegiatan masyarakat.,netral,polisi milik peran aman giat masyarakat
511,"Pelayanan kepolisian mencakup berbagai aspek, termasuk administrasi hukum.",netral,layan polisi cakup aspek administrasi hukum
512,Petugas kepolisian diberikan pelatihan sebelum menjalankan tugasnya.,netral,tugas polisi latih jalan tugas
513,Prosedur penanganan kasus mengacu pada hukum yang berlaku.,netral,prosedur tangan acu hukum laku
514,Polisi berperan dalam mengatur lalu lintas untuk menjaga kelancaran jalan.,netral,polisi peran atur lintas jaga lancar jalan
515,Kepolisian memiliki mekanisme pengaduan bagi masyarakat yang membutuhkan.,netral,polisi milik mekanisme adu masyarakat butuh
516,"Dalam menjalankan tugasnya, polisi mengikuti standar operasional yang ditentukan.",netral,jalan tugas polisi ikut standar operasional tentu
517,Setiap anggota kepolisian memiliki tanggung jawab dalam menjalankan tugasnya.,netral,anggota polisi milik tanggung jalan tugas
518,Kepolisian bekerja di bawah regulasi yang ditetapkan pemerintah.,netral,polisi regulasi tetap perintah
519,Laporan masyarakat menjadi salah satu sumber informasi bagi kepolisian.,netral,lapor masyarakat salah sumber informasi polisi
520,Teknologi digunakan oleh kepolisian untuk membantu dalam penyelidikan kasus.,netral,teknologi polisi bantu selidik
521,Kepolisian memiliki tugas untuk menjaga keamanan dalam berbagai situasi.,netral,polisi milik tugas jaga aman situasi
522,"Kelakuan kayak preman, tapi minta dihormati! Gimana rakyat mau respek?!",anger,laku kayak preman hormat gimana rakyat respek
523,"Polisi harusnya melindungi rakyat, bukan malah bikin susah!",anger,polisi lindung rakyat bukan bikin susah
524,Percuma ada hukum kalau polisi masih tebang pilih!,anger,hukum polisi tebang pilih
525,"Keadilan cuma buat yang punya uang, rakyat kecil nggak dianggap!",anger,adil uang rakyat tidak anggap
